day0,cases_confirm,cases_suspect,deaths_suspect,deaths,deaths_day,date,cases_confirm_day,recovery
0,0,20,0,0,0,17/3/2020,0,0
1,2,29,0,0,0,18/03/2020,2,0
2,2,38,0,0,0,19/03/2020,0,0
3,2,50,0,0,0,20/03/2020,0,0
4,2,67,0,0,0,21/03/2020,0,0
5,5,84,0,0,0,22/03/2020,3,0
6,7,124,0,0,0,23/03/2020,2,0
7,7,79,0,0,0,24/03/2020,0,0
8,9,84,0,0,0,25/03/2020,2,0
9,11,120,2,0,0,26/03/2020,2,0
10,14,158,3,0,0,27/03/2020,3,0
11,18,237,3,0,0,28/03/2020,4,0
13,32,265,6,0,0,30/03/2020,14,0
14,33,461,5,1,1,31/03/2020,1,0
15,36,493,6,1,0,01/04/2020,3,0
16,50,501,8,1,0,02/04/2020,14,0
17,58,561,7,1,0,03/04/2020,8,12
20,66,587,9,1,0,06/04/2020,8,15
21,78,525,11,2,1,07/04/2020,12,15
22,78,504,11,2,0,08/04/2020,0,16
25,85,505,15,2,0,11/04/2020,7,18
27,100,454,13,3,1,13/04/2020,15,34
28,105,513,15,3,0,14/04/2020,5,34
29,108,531,18,3,0,15/04/2020,3,34
30,131,512,17,3,0,16/04/2020,23,42
31,136,521,16,3,0,17/04/2020,5,59
32,143,522,16,3,0,18/04/2020,7,59
35,144,523,17,4,1,20/04/2020,1,59
38,140,520,13,6,2,22/04/2020,-4,72
39,161,586,15,6,0,23/04/2020,21,85
40,174,586,15,6,0,24/04/2020,13,85
41,176,587,14,7,1,25/04/2020,2,85
44,187,674,16,10,3,27/04/2020,11,101
45,202,595,10,10,0,28/04/2020,15,101
46,215,638,11,10,0,29/04/2020,13,101
47,231,571,13,11,1,30/04/2020,16,101
49,239,572,12,11,0,02/05/2020,8,101
50,278,519,5,14,3,04/05/2020,39,147
51,300,549,8,14,0,05/05/2020,22,147
52,310,546,7,14,0,06/05/2020,10,156
53,331,578,7,15,1,07/05/2020,21,157
54,361,586,8,16,1,08/05/2020,30,171
55,363,587,9,16,0,09/05/2020,2,171
57,367,613,8,17,1,11/05/2020,4,202
58,391,579,10,17,0,12/05/2020,24,207
59,408,481,9,17,0,13/05/2020,17,233
60,409,459,7,18,1,14/05/2020,1,245
61,421,530,4,19,1,15/05/2020,12,245
62,423,531,6,21,2,16/05/2020,2,245
64,468,544,6,26,5,18/05/2020,45,302
65,509,577,8,28,2,19/05/2020,41,344
66,553,583,10,29,1,20/05/2020,44,387
67,578,609,8,30,1,21/05/2020,25,412
68,612,582,7,30,0,22/05/2020,34,427
69,616,583,8,31,1,23/05/2020,4,427
72,687,691,10,31,0,26/05/2020,71,437
73,727,725,3,33,2,27/05/2020,40,464
74,794,789,4,34,1,28/05/2020,67,493
75,842,907,4,36,2,29/05/2020,48,519
76,866,907,5,37,1,30/05/2020,24,519
77,890,1002,6,37,0,01/06/2020,24,519
78,957,927,5,40,3,02/06/2020,67,564
79,1002,907,7,42,2,03/06/2020,45,641
80,1066,946,6,45,3,04/06/2020,64,701
81,1116,937,8,45,0,05/06/2020,50,739
82,1138,937,8,46,1,06/06/2020,22,739
84,1204,898,12,51,5,08/06/2020,66,758
85,1271,974,10,53,2,09/06/2020,67,879
86,1397,884,9,55,2,10/06/2020,126,961
89,1461,884,13,58,3,12/06/2020,64,961
90,1493,884,12,59,1,13/06/2020,32,961
92,1535,1241,9,61,2,15/06/2020,42,1004
93,1728,1165,11,64,3,16/06/2020,193,1139
94,1835,1184,8,67,3,17/06/2020,107,1227
96,2045,1247,14,72,5,19/06/2020,210,1321
97,2103,1247,16,75,3,20/06/2020,58,1321
99,2192,1360,11,81,6,22/06/2020,89,1360
100,2365,1528,12,82,1,23/06/2020,173,1369
101,2462,1663,9,84,2,24/06/2020,97,1455
102,2561,1685,6,86,2,25/06/2020,99,1501
103,2750,1703,10,87,1,26/06/2020,189,1578
104,2763,1703,10,87,0,27/06/2020,13,1578
106,2983,1794,10,92,5,29/06/2020,220,1767
107,3073,2033,10,93,1,30/06/2020,90,1912
108,3195,2165,12,95,2,01/07/2020,122,1997
109,3253,2296,14,99,4,02/07/2020,58,2089
110,3360,2406,13,101,2,03/07/2020,107,2236
111,3577,2406,9,105,4,04/07/2020,217,2236
113,3690,2258,16,113,8,06/07/2020,113,2313
114,3776,2599,19,113,0,07/07/2020,86,2422
115,3906,2936,21,115,2,08/07/2020,130,2623
116,4022,3075,21,118,3,09/07/2020,116,2652
117,4061,3423,24,119,1,10/07/2020,39,2652
118,4064,3423,25,122,3,11/07/2020,3,2652
120,4311,3586,23,126,4,13/07/2020,247,2749
121,4422,3803,23,130,4,14/07/2020,111,2834
122,4444,3990,25,132,2,15/07/2020,22,2963
123,4457,3987,21,137,5,16/07/2020,13,3032
124,4741,4522,22,143,6,17/07/2020,284,3137
125,4816,4522,27,144,1,18/07/2020,75,3137
127,4848,4673,17,155,11,20/07/2020,32,3222
128,4922,4783,19,158,3,21/07/2020,74,3301
129,5345,4739,21,167,9,22/07/2020,423,3301
130,5658,4550,18,173,6,23/07/2020,313,3366
131,5975,4340,16,181,8,24/07/2020,317,3394
132,5983,4340,20,185,4,25/07/2020,8,3394
135,6424,4708,14,192,7,28/07/2020,441,3446
136,6647,4759,17,194,2,29/07/2020,223,3491
137,6763,5010,17,200,6,30/07/2020,116,3568
138,7142,5035,19,204,4,31/07/2020,379,3698
139,7174,5035,19,205,1,01/08/2020,32,3698
141,7423,5202,20,213,8,03/08/2020,249,3779
142,7684,5351,23,220,7,04/08/2020,261,3809
143,8000,5223,29,226,6,05/08/2020,316,3949
144,8224,5274,29,229,3,06/08/2020,224,4089
145,8587,5046,33,232,3,07/08/2020,363,4177
146,8799,5046,34,233,1,08/08/2020,212,4177
148,8934,5116,25,255,22,10/08/2020,135,4204
149,9186,4963,20,262,7,11/08/2020,252,4228
150,9669,4479,18,271,9,12/08/2020,483,4331
151,9877,4513,16,274,3,13/08/2020,208,4387
152,10107,4471,15,276,2,14/08/2020,230,4452
153,10107,4471,16,280,4,15/08/2020,0,4452
155,10450,4459,16,291,11,17/08/2020,343,4504
156,10694,4565,17,293,2,18/08/2020,244,4629
157,11039,4518,18,298,5,19/08/2020,345,4678
158,11289,4357,20,305,7,20/08/2020,250,4774
159,11505,4171,19,309,4,21/08/2020,216,4852
160,11505,4171,19,310,1,22/08/2020,0,4852
162,11985,4123,13,320,10,24/08/2020,480,5079
163,12226,4339,14,324,4,25/08/2020,241,5105
164,12472,4351,17,330,6,26/08/2020,246,5141
165,12771,4161,15,333,3,27/08/2020,299,5200
166,12975,4204,13,340,7,28/08/2020,204,5244
167,12975,4204,13,341,1,29/08/2020,0,5244
169,13251,4344,13,353,12,31/08/2020,276,5376
170,13504,4301,11,360,7,01/09/2020,253,5518
171,13719,4193,9,362,2,02/09/2020,215,5545
172,13929,3940,7,363,1,03/09/2020,210,5570
173,14139,3901,7,363,0,04/09/2020,210,5650
174,14139,3901,7,369,6,05/09/2020,0,5650
177,14535,3854,7,375,6,08/09/2020,396,5681
178,14681,4002,10,376,1,09/09/2020,146,5750
179,14821,4185,7,379,3,10/09/2020,140,6002
180,15081,3993,9,380,1,11/09/2020,260,6436
181,15081,3996,7,382,2,12/09/2020,0,6730
183,15371,4114,7,388,6,14/09/2020,290,7003
184,15683,3861,7,391,3,15/09/2020,312,7826
185,15964,3577,6,395,4,16/09/2020,281,8424
