received_date,receveid_hour,sensor A,sensor B,sensor C
01/09/2020,00:01:23,55,19,4
01/09/2020,00:06:24,37,20,3
01/09/2020,00:12:25,51,16,4
01/09/2020,00:20:26,55,25,4
01/09/2020,00:22:27,52,17,0
01/09/2020,00:34:32,42,24,2
01/09/2020,00:38:21,38,18,5
01/09/2020,00:42:37,40,18,3
01/09/2020,00:50:21,50,23,0
01/09/2020,00:55:24,49,22,2
01/09/2020,01:01:23,35,16,1
01/09/2020,01:06:24,42,22,5
01/09/2020,01:12:25,49,15,0
01/09/2020,01:20:26,43,18,1
01/09/2020,01:22:27,45,22,0
01/09/2020,01:34:32,43,18,2
01/09/2020,01:38:21,41,22,2
01/09/2020,01:42:37,54,22,0
01/09/2020,01:50:21,44,19,5
01/09/2020,02:01:23,35,20,3
01/09/2020,02:06:24,38,24,0
01/09/2020,02:12:25,47,18,5
01/09/2020,02:20:26,43,19,1
01/09/2020,02:22:27,41,21,4
01/09/2020,02:34:32,38,23,2
01/09/2020,02:38:21,39,18,2
01/09/2020,02:42:37,35,25,5
01/09/2020,02:50:21,45,24,3
01/09/2020,03:01:23,54,20,3
01/09/2020,03:06:24,41,21,2
01/09/2020,03:12:25,42,18,0
01/09/2020,03:20:26,53,20,4
01/09/2020,03:22:27,35,25,4
01/09/2020,03:34:32,48,20,0
01/09/2020,03:38:21,46,19,4
01/09/2020,03:42:37,40,25,5
01/09/2020,03:50:21,50,15,4
01/09/2020,04:01:23,51,15,5
01/09/2020,04:06:24,54,22,5
01/09/2020,04:12:25,35,18,0
01/09/2020,04:20:26,52,15,4
01/09/2020,04:22:27,50,20,1
01/09/2020,04:34:32,43,23,3
01/09/2020,04:38:21,50,17,3
01/09/2020,04:42:37,37,16,0
01/09/2020,04:50:21,38,18,4
01/09/2020,05:01:23,43,16,3
01/09/2020,05:06:24,39,20,4
01/09/2020,05:12:25,55,24,1
01/09/2020,05:20:26,37,20,3
01/09/2020,05:22:27,53,20,2
01/09/2020,05:34:32,54,17,3
01/09/2020,05:38:21,48,24,0
01/09/2020,05:42:37,52,16,4
01/09/2020,05:50:21,51,20,0
01/09/2020,06:01:23,39,23,0
01/09/2020,06:06:24,43,25,1
01/09/2020,06:12:25,41,16,3
01/09/2020,06:20:26,45,17,2
01/09/2020,06:22:27,55,22,1
01/09/2020,06:34:32,48,19,5
01/09/2020,06:38:21,46,15,3
01/09/2020,06:42:37,38,17,1
01/09/2020,06:50:21,45,18,5
01/09/2020,07:01:23,40,17,5
01/09/2020,07:06:24,48,20,0
01/09/2020,07:12:25,45,17,2
01/09/2020,07:20:26,36,24,1
01/09/2020,07:22:27,48,17,1
01/09/2020,07:34:32,41,20,5
01/09/2020,07:38:21,51,24,5
01/09/2020,07:42:37,40,19,0
01/09/2020,07:50:21,39,21,1
01/09/2020,07:01:23,39,19,5
01/09/2020,07:06:24,54,21,2
01/09/2020,07:12:25,44,18,3
01/09/2020,07:20:26,43,21,4
01/09/2020,07:22:27,52,22,1
01/09/2020,07:34:32,35,21,1
01/09/2020,07:38:21,37,16,0
01/09/2020,07:42:37,51,23,5
01/09/2020,07:50:21,44,21,4
01/09/2020,08:01:23,41,18,4
01/09/2020,08:06:24,42,16,0
01/09/2020,08:12:25,55,21,0
01/09/2020,09:20:26,37,15,3
01/09/2020,09:22:27,35,21,1
01/09/2020,09:34:32,52,18,1
01/09/2020,09:38:21,46,20,0
01/09/2020,09:42:37,45,18,2
01/09/2020,09:50:21,41,17,0
01/09/2020,10:01:23,52,18,2
01/09/2020,10:06:24,49,20,5
01/09/2020,10:12:25,44,19,1
01/09/2020,10:20:26,41,18,4
01/09/2020,10:22:27,47,15,2
01/09/2020,10:34:32,38,20,3
01/09/2020,10:38:21,50,25,0
01/09/2020,10:42:37,46,17,0
01/09/2020,10:50:21,39,17,4
01/09/2020,11:01:23,46,18,0
01/09/2020,11:06:24,47,25,4
01/09/2020,11:12:25,51,17,0
01/09/2020,11:20:26,36,24,3
01/09/2020,11:22:27,53,20,3
01/09/2020,11:34:32,42,24,5
01/09/2020,11:38:21,52,19,1
01/09/2020,11:42:37,49,19,3
01/09/2020,11:50:21,46,18,4
01/09/2020,12:01:23,51,22,4
01/09/2020,12:06:24,53,24,2
01/09/2020,12:12:25,47,21,2
01/09/2020,12:20:26,38,15,1
01/09/2020,12:22:27,54,18,5
01/09/2020,12:34:32,38,19,4
01/09/2020,12:38:21,43,21,5
01/09/2020,12:42:37,36,23,3
01/09/2020,12:50:21,55,17,5
01/09/2020,13:01:23,41,22,2
01/09/2020,13:06:24,53,19,5
01/09/2020,13:12:25,46,17,2
01/09/2020,13:20:26,52,23,2
01/09/2020,13:22:27,41,25,5
01/09/2020,13:34:32,51,15,5
01/09/2020,13:38:21,55,15,3
01/09/2020,13:42:37,40,18,5
01/09/2020,13:50:21,51,24,4
01/09/2020,14:01:23,48,25,4
01/09/2020,14:06:24,49,17,4
01/09/2020,14:12:25,37,23,0
01/09/2020,14:20:26,38,16,3
01/09/2020,14:22:27,35,19,4
01/09/2020,14:34:32,43,15,3
01/09/2020,14:38:21,50,16,5
01/09/2020,14:42:37,50,15,5
01/09/2020,14:50:21,44,18,2
01/09/2020,15:01:23,49,23,2
01/09/2020,15:06:24,38,20,2
01/09/2020,15:12:25,51,15,2
01/09/2020,15:20:26,52,17,0
01/09/2020,15:22:27,45,23,1
01/09/2020,15:34:32,53,23,5
01/09/2020,15:38:21,49,21,4
01/09/2020,15:42:37,39,17,1
01/09/2020,15:50:21,35,21,4
01/09/2020,16:01:23,41,16,2
01/09/2020,16:06:24,46,18,0
01/09/2020,16:12:25,50,17,1
01/09/2020,16:20:26,38,20,0
01/09/2020,16:22:27,46,23,5
01/09/2020,16:34:32,54,23,0
01/09/2020,16:38:21,40,24,3
01/09/2020,16:42:37,36,23,0
01/09/2020,16:50:21,52,15,4
01/09/2020,17:01:23,49,18,2
01/09/2020,17:06:24,55,19,0
01/09/2020,17:12:25,48,24,5
01/09/2020,17:20:26,51,15,5
01/09/2020,17:22:27,50,21,4
01/09/2020,17:34:32,44,23,5
01/09/2020,17:38:21,50,25,1
01/09/2020,17:42:37,49,23,1
01/09/2020,17:50:21,54,18,2
01/09/2020,18:01:23,45,22,0
01/09/2020,18:06:24,51,19,2
01/09/2020,18:12:25,40,18,0
01/09/2020,18:20:26,45,19,4
01/09/2020,18:22:27,55,24,3
01/09/2020,18:34:32,46,15,1
01/09/2020,18:38:21,44,17,5
01/09/2020,18:42:37,52,22,0
01/09/2020,18:50:21,52,15,2
01/09/2020,19:01:23,45,19,0
01/09/2020,19:06:24,47,18,0
01/09/2020,19:12:25,47,15,0
01/09/2020,19:20:26,40,18,1
01/09/2020,19:22:27,35,22,4
