date,obitos
31/03/2020,1
01/04/2020,0
02/04/2020,0
03/04/2020,0
06/04/2020,0
07/04/2020,1
08/04/2020,0
11/04/2020,0
13/04/2020,1
14/04/2020,0
15/04/2020,0
16/04/2020,0
17/04/2020,0
18/04/2020,0
20/04/2020,1
22/04/2020,2
23/04/2020,0
24/04/2020,0
25/04/2020,1
27/04/2020,3
28/04/2020,0
29/04/2020,0
30/04/2020,1
02/05/2020,0
04/05/2020,3
05/05/2020,0
06/05/2020,0
07/05/2020,1
08/05/2020,1
09/05/2020,0
11/05/2020,1
12/05/2020,0
13/05/2020,0
14/05/2020,1
15/05/2020,1
16/05/2020,2
18/05/2020,5
19/05/2020,2
20/05/2020,1
21/05/2020,1
22/05/2020,0
23/05/2020,1
26/05/2020,0
27/05/2020,2
28/05/2020,1
29/05/2020,2
30/05/2020,1
01/06/2020,0
02/06/2020,3
03/06/2020,2
04/06/2020,3
05/06/2020,0
06/06/2020,1
08/06/2020,5
09/06/2020,2
10/06/2020,2
12/06/2020,3
13/06/2020,1
15/06/2020,2
16/06/2020,3
17/06/2020,3
19/06/2020,5
20/06/2020,3
22/06/2020,6
23/06/2020,1
24/06/2020,2
25/06/2020,2
26/06/2020,1
27/06/2020,0
29/06/2020,5
30/06/2020,1
01/07/2020,2
02/07/2020,4
03/07/2020,2
04/07/2020,4
06/07/2020,8
07/07/2020,0
08/07/2020,2
09/07/2020,3
10/07/2020,1
11/07/2020,3
13/07/2020,4
14/07/2020,4
15/07/2020,2
16/07/2020,5
17/07/2020,6
18/07/2020,1
20/07/2020,11
21/07/2020,3
22/07/2020,9
23/07/2020,6
24/07/2020,8
25/07/2020,4
28/07/2020,7
29/07/2020,2
30/07/2020,6
31/07/2020,4
01/08/2020,1
03/08/2020,8
04/08/2020,7
05/08/2020,6
06/08/2020,3
07/08/2020,3
08/08/2020,1
10/08/2020,22
11/08/2020,7
12/08/2020,9
13/08/2020,3
14/08/2020,2
15/08/2020,4
17/08/2020,11
18/08/2020,2
19/08/2020,5
20/08/2020,7
21/08/2020,4
22/08/2020,1
24/08/2020,10
25/08/2020,4
26/08/2020,6
27/08/2020,3
28/08/2020,7
29/08/2020,1
31/08/2020,12
01/09/2020,7
02/09/2020,2
03/09/2020,1
04/09/2020,0
05/09/2020,6
08/09/2020,6
09/09/2020,1
10/09/2020,3
11/09/2020,1
12/09/2020,2
14/09/2020,6
15/09/2020,3
16/09/2020,4
17/09/2020,3
18/09/2020,1
19/09/2020,4
21/09/2020,11
22/09/2020,5
23/09/2020,2
24/09/2020,6
25/09/2020,0
26/09/2020,1
28/09/2020,3
29/09/2020,2
30/09/2020,2
01/10/2020,2
02/10/2020,1
03/10/2020,2
05/10/2020,4
06/10/2020,3
07/10/2020,1
08/10/2020,1
09/10/2020,3
10/10/2020,1
13/10/2020,2
14/10/2020,0
15/10/2020,1
16/10/2020,0
17/10/2020,0
19/10/2020,3
20/10/2020,1
21/10/2020,0
22/10/2020,1
23/10/2020,0
24/10/2020,0
26/10/2020,0
27/10/2020,1
28/10/2020,0
29/10/2020,2
30/10/2020,1
31/10/2020,0
03/11/2020,5
04/11/2020,2
05/11/2020,1
06/11/2020,0
07/11/2020,1
09/11/2020,2
10/11/2020,1
11/11/2020,1
12/11/2020,2
13/11/2020,3
14/11/2020,0
16/11/2020,0
17/11/2020,3
18/11/2020,1
19/11/2020,0
20/11/2020,1
21/11/2020,1
23/11/2020,2
24/11/2020,0
25/11/2020,1
26/11/2020,0
27/11/2020,1
28/11/2020,0
30/11/2020,0
01/12/2020,2
02/12/2020,2
03/12/2020,1
04/12/2020,1
05/12/2020,2
07/12/2020,3
08/12/2020,1
09/12/2020,3
10/12/2020,3
11/12/2020,4
12/12/2020,1
14/12/2020,4
15/12/2020,2
16/12/2020,6
17/12/2020,1
18/12/2020,1
19/12/2020,0
21/12/2020,3
22/12/2020,2
23/12/2020,2
24/12/2020,3
26/12/2020,0
28/12/2020,3
29/12/2020,4
30/12/2020,3
31/12/2020,1
02/01/2021,0
04/01/2021,8
05/01/2021,10
06/01/2021,4
07/01/2021,3
08/01/2021,12
09/01/2021,1
11/01/2021,7
12/01/2021,7
13/01/2021,10
14/01/2021,5
15/01/2021,6
16/01/2021,3
18/01/2021,8
19/01/2021,7
20/01/2021,4
21/01/2021,16
22/01/2021,0
23/01/2021,1
25/01/2021,16
26/01/2021,7
27/01/2021,10
28/01/2021,11
29/01/2021,1
30/01/2021,1
01/02/2021,10
02/02/2021,11
03/02/2021,4
04/02/2021,7
05/02/2021,6
06/02/2021,1
08/02/2021,6
09/02/2021,8
10/02/2021,3
11/02/2021,10
12/02/2021,2
13/02/2021,2
15/02/2021,4
16/02/2021,3
17/02/2021,4
18/02/2021,11
19/02/2021,1
20/02/2021,3
22/02/2021,5
23/02/2021,3
24/02/2021,6
25/02/2021,5
26/02/2021,5
27/02/2021,2
01/03/2021,2
02/03/2021,4
03/03/2021,3
04/03/2021,5
05/03/2021,1
06/03/2021,1
08/03/2021,7
09/03/2021,4
10/03/2021,1
11/03/2021,5
12/03/2021,4
13/03/2021,4
15/03/2021,10
16/03/2021,2
17/03/2021,10
19/03/2021,4
20/03/2021,4
22/03/2021,2
23/03/2021,15
24/03/2021,19
25/03/2021,9
26/03/2021,6
27/03/2021,3
29/03/2021,16
30/03/2021,9
31/03/2021,12
01/04/2021,3
03/04/2021,14
05/04/2021,8
06/04/2021,11
07/04/2021,13
08/04/2021,4
09/04/2021,7
10/04/2021,4
12/04/2021,12
13/04/2021,17
14/04/2021,10
15/04/2021,6
16/04/2021,7
17/04/2021,10
19/04/2021,19
20/04/2021,7
22/04/2021,13
23/04/2021,9
24/04/2021,7
26/04/2021,7
27/04/2021,12
28/04/2021,12
29/04/2021,3
30/04/2021,8
03/05/2021,25
04/05/2021,11
05/05/2021,6
06/05/2021,10
07/05/2021,10
08/05/2021,7
10/05/2021,17
11/05/2021,14
12/05/2021,9
13/05/2021,5
14/05/2021,12
15/05/2021,4
17/05/2021,16
18/05/2021,11
19/05/2021,6
20/05/2021,6
21/05/2021,16
22/05/2021,3
24/05/2021,16
25/05/2021,11
26/05/2021,13
27/05/2021,9
28/05/2021,9
29/05/2021,8
31/05/2021,26
01/06/2021,16
02/06/2021,13
04/06/2021,13
05/06/2021,10
07/06/2021,8
08/06/2021,14
09/06/2021,9
10/06/2021,9
11/06/2021,10
12/06/2021,6
14/06/2021,16
15/06/2021,5
16/06/2021,3
17/06/2021,5
18/06/2021,10
19/06/2021,7
21/06/2021,17
22/06/2021,12
23/06/2021,5
24/06/2021,9
25/06/2021,7
26/06/2021,5
28/06/2021,15
29/06/2021,7
30/06/2021,6
01/07/2021,5
02/07/2021,3
03/07/2021,6
05/07/2021,11
06/07/2021,10
07/07/2021,8
08/07/2021,5
10/07/2021,6
12/07/2021,7
13/07/2021,4
14/07/2021,6
15/07/2021,5
16/07/2021,6
17/06/2021,4
19/07/2021,3
20/07/2021,4
21/07/2021,4
22/07/2021,2
23/07/2021,3
24/07/2021,3
