date,recuperados
03/04/2020,12
06/04/2020,3
07/04/2020,0
08/04/2020,1
11/04/2020,2
13/04/2020,16
14/04/2020,0
15/04/2020,0
16/04/2020,8
17/04/2020,17
18/04/2020,0
20/04/2020,0
22/04/2020,13
23/04/2020,13
24/04/2020,0
25/04/2020,0
27/04/2020,16
28/04/2020,0
29/04/2020,0
30/04/2020,0
02/05/2020,0
04/05/2020,46
05/05/2020,0
06/05/2020,9
07/05/2020,1
08/05/2020,14
09/05/2020,0
11/05/2020,31
12/05/2020,5
13/05/2020,26
14/05/2020,12
15/05/2020,0
16/05/2020,0
18/05/2020,57
19/05/2020,42
20/05/2020,43
21/05/2020,25
22/05/2020,15
23/05/2020,0
26/05/2020,10
27/05/2020,27
28/05/2020,29
29/05/2020,26
30/05/2020,0
01/06/2020,0
02/06/2020,45
03/06/2020,77
04/06/2020,60
05/06/2020,38
06/06/2020,0
08/06/2020,19
09/06/2020,121
10/06/2020,82
12/06/2020,0
13/06/2020,0
15/06/2020,43
16/06/2020,135
17/06/2020,88
19/06/2020,94
20/06/2020,0
22/06/2020,39
23/06/2020,9
24/06/2020,86
25/06/2020,46
26/06/2020,77
27/06/2020,0
29/06/2020,189
30/06/2020,145
01/07/2020,85
02/07/2020,92
03/07/2020,147
04/07/2020,0
06/07/2020,77
07/07/2020,109
08/07/2020,201
09/07/2020,29
10/07/2020,0
11/07/2020,0
13/07/2020,97
14/07/2020,85
15/07/2020,129
16/07/2020,69
17/07/2020,105
18/07/2020,0
20/07/2020,85
21/07/2020,79
22/07/2020,0
23/07/2020,65
24/07/2020,28
25/07/2020,0
28/07/2020,52
29/07/2020,45
30/07/2020,77
31/07/2020,130
01/08/2020,0
03/08/2020,81
04/08/2020,30
05/08/2020,140
06/08/2020,140
07/08/2020,88
08/08/2020,0
10/08/2020,27
11/08/2020,24
12/08/2020,103
13/08/2020,56
14/08/2020,65
15/08/2020,0
17/08/2020,52
18/08/2020,125
19/08/2020,49
20/08/2020,96
21/08/2020,78
22/08/2020,0
24/08/2020,227
25/08/2020,26
26/08/2020,36
27/08/2020,59
28/08/2020,44
29/08/2020,0
31/08/2020,132
01/09/2020,142
02/09/2020,27
03/09/2020,25
04/09/2020,80
05/09/2020,0
08/09/2020,31
09/09/2020,69
10/09/2020,252
11/09/2020,434
12/09/2020,294
14/09/2020,273
15/09/2020,823
16/09/2020,598
17/09/2020,583
18/09/2020,623
19/09/2020,0
21/09/2020,1.199
22/09/2020,427
23/09/2020,664
24/09/2020,725
25/09/2020,586
26/09/2020,0
28/09/2020,771
29/09/2020,521
30/09/2020,400
01/10/2020,183
02/10/2020,245
03/10/2020,81
05/10/2020,194
06/10/2020,159
07/10/2020,117
08/10/2020,76
09/10/2020,23
10/10/2020,15
13/10/2020,184
14/10/2020,232
15/10/2020,78
16/10/2020,91
17/10/2020,9
19/10/2020,47
20/10/2020,60
21/10/2020,28
22/10/2020,157
23/10/2020,101
24/10/2020,10
26/10/2020,129
27/10/2020,92
28/10/2020,268
29/10/2020,254
30/10/2020,157
31/10/2020,0
03/11/2020,187
04/11/2020,171
05/11/2020,1.168
30/11/2020,78
01/12/2020,103
02/12/2020,89
03/12/2020,154
04/12/2020,101
05/12/2020,84
07/12/2020,200
08/12/2020,137
09/12/2020,145
10/12/2020,125
11/12/2020,117
12/12/2020,62
14/12/2020,242
15/12/2020,123
16/12/2020,165
17/12/2020,230
18/12/2020,225
19/12/2020,91
21/12/2020,196
22/12/2020,206
23/12/2020,258
24/12/2020,123
26/12/2020,237
28/12/2020,214
29/12/2020,172
30/12/2020,182
31/12/2020,340
02/01/2021,244
04/01/2021,182
05/01/2021,222
06/01/2021,340
07/01/2021,318
08/01/2021,94
09/01/2021,530
11/01/2021,742
12/01/2021,317
13/01/2021,414
14/01/2021,302
15/01/2021,428
16/01/2021,280
18/01/2021,961
19/01/2021,362
20/01/2021,401
21/01/2021,804
22/01/2021,0
23/01/2021,347
25/01/2021,1.027
26/01/2021,528
27/01/2021,420
28/01/2021,329
29/01/2021,466
30/01/2021,408
01/02/2021,598
02/02/2021,507
03/02/2021,573
04/02/2021,695
05/02/2021,784
06/02/2021,419
08/02/2021,989
09/02/2021,138
10/02/2021,303
11/02/2021,330
12/02/2021,378
13/02/2021,228
15/02/2021,419
16/02/2021,240
17/02/2021,208
18/02/2021,223
19/02/2021,223
20/02/2021,221
22/02/2021,341
23/02/2021,194
24/02/2021,114
25/02/2021,164
26/02/2021,152
27/02/2021,142
01/03/2021,293
02/03/2021,155
03/03/2021,143
04/03/2021,120
05/03/2021,155
06/03/2021,154
08/03/2021,279
09/03/2021,164
10/03/2021,146
11/03/2021,174
12/03/2021,166
13/03/2021,156
15/03/2021,296
16/03/2021,172
17/03/2021,131
19/03/2021,303
20/03/2021,148
22/03/2021,369
23/03/2021,262
24/03/2021,163
25/03/2021,161
26/03/2021,202
27/03/2021,228
29/03/2021,502
30/03/2021,419
31/03/2021,378
01/04/2021,274
03/04/2021,556
05/04/2021,484
06/04/2021,294
07/04/2021,298
08/04/2021,196
09/04/2021,272
10/04/2021,290
12/04/2021,494
13/04/2021,265
14/04/2021,332
15/04/2021,269
16/04/2021,225
17/04/2021,183
19/04/2021,428
20/04/2021,244
22/04/2021,521
23/04/2021,235
24/04/2021,170
26/04/2021,544
27/04/2021,218
28/04/2021,237
29/04/2021,213
30/04/2021,247
03/05/2021,740
04/05/2021,227
05/05/2021,0
06/05/2021,470
07/05/2021,205
08/05/2021,255
10/05/2021,481
11/05/2021,223
12/05/2021,260
13/05/2021,245
14/05/2021,293
15/05/2021,251
17/05/2021,554
18/05/2021,209
19/05/2021,244
20/05/2021,282
21/05/2021,315
22/05/2021,245
24/05/2021,576
25/05/2021,275
26/05/2021,281
27/05/2021,277
28/05/2021,302
29/05/2021,433
31/05/2021,679
01/06/2021,428
02/06/2021,306
04/06/2021,721
05/06/2021,326
07/06/2021,785
08/06/2021,359
09/06/2021,468
10/06/2021,428
11/06/2021,344
12/06/2021,357
14/06/2021,722
15/06/2021,566
16/06/2021,439
17/06/2021,500
18/06/2021,386
19/06/2021,308
21/06/2021,694
22/06/2021,424
23/06/2021,372
24/06/2021,433
25/06/2021,367
26/06/2021,326
28/06/2021,625
29/06/2021,340
30/06/2021,299
01/07/2021,370
02/07/2021,307
03/07/2021,256
05/07/2021,481
06/07/2021,267
07/07/2021,260
08/07/2021,251
10/07/2021,406
12/07/2021,456
13/07/2021,190
14/07/2021,187
15/07/2021,178
16/07/2021,201
17/06/2021,156
19/07/2021,288
20/07/2021,161
21/07/2021,171
22/07/2021,5.787
23/07/2021,143
24/07/2021,93
